"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","TS02 - create and read a booking","webkit","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","16674","TS02 - admin can view the employee list","chromium","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","212","TS02 - server error returns status 500","chromium","2026-09-09","passed","2026-09-09","Books to Scrape - mocked responses","","",""
"","99","TS02 - create and read a booking","firefox","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","16469","TS01 - employee count in UI matches the API","chromium","2026-09-09","passed","2026-09-09","OrangeHRM - hybrid API + UI","","",""
"","849","TS01 - browse books across pages","mobile-chrome","2026-09-09","passed","2026-09-09","Books to Scrape","","",""
"","7182","TS01 - invalid credentials show an error","webkit","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","1517","TS05 - full checkout completes an order","firefox","2026-09-09","passed","2026-09-09","SauceDemo - shopping","","",""
"","997","TS01 - locked out user sees error message","webkit","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","223","TS01 - health check responds","firefox","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","2813","TS - bookstoscrape home has no critical violations","chromium","2026-09-09","passed","2026-09-09","Accessibility scans","","",""
"","639","TS02 - standard user can log in","chromium","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","616","TS01 - locked out user sees error message","mobile-chrome","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","1","TS01 - home page matches baseline","chromium","2026-09-09","skipped","2026-09-09","Books to Scrape - visual","","",""
"","704","TS03 - adding and removing an item updates the cart badge","chromium","2026-09-09","passed","2026-09-09","SauceDemo - shopping","","",""
"","866","TS04 - checkout requires a first name","chromium","2026-09-09","passed","2026-09-09","SauceDemo - shopping","","",""
"","870","TS02 - standard user can log in","firefox","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","1173","TS - saucedemo login has no critical violations","chromium","2026-09-09","passed","2026-09-09","Accessibility scans","","",""
"","9112","TS02 - admin can view the employee list","firefox","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","2000","TS01 - empty catalogue page shows no books","chromium","2026-09-09","passed","2026-09-09","Books to Scrape - mocked responses","","",""
"","10299","TS02 - admin can view the employee list","webkit","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","784","TS05 - full checkout completes an order","chromium","2026-09-09","passed","2026-09-09","SauceDemo - shopping","","",""
"","5777","TS01 - browse books across pages","webkit","2026-09-09","passed","2026-09-09","Books to Scrape","","",""
"","2446","TS05 - full checkout completes an order","webkit","2026-09-09","passed","2026-09-09","SauceDemo - shopping","","",""
"","7251","TS01 - invalid credentials show an error","chromium","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","2416","TS01 - browse books across pages","firefox","2026-09-09","passed","2026-09-09","Books to Scrape","","",""
"","155","TS02 - create and read a booking","chromium","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","1894","TS02 - standard user can log in","webkit","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","635","TS02 - standard user can log in","mobile-chrome","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","1922","TS01 - locked out user sees error message","firefox","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","381","TS03 - update and delete a booking with auth","chromium","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","192","TS01 - health check responds","webkit","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","6781","TS01 - invalid credentials show an error","firefox","2026-09-09","passed","2026-09-09","OrangeHRM","","",""
"","1107","TS01 - browse books across pages","chromium","2026-09-09","passed","2026-09-09","Books to Scrape","","",""
"","318","TS01 - health check responds","chromium","2026-09-09","passed","2026-09-09","Restful Booker API","","",""
"","545","TS01 - locked out user sees error message","chromium","2026-09-09","passed","2026-09-09","SauceDemo - login","","",""
"","1460","TS01 - search shows the matching article","chromium","2026-09-09","passed","2026-09-09","Wikipedia","","",""
"","9539","TS01 - search shows the matching article","webkit","2026-09-09","passed","2026-09-09","Wikipedia","","",""
"","633","authenticate saucedemo standard user","setup","2026-09-09","passed","2026-09-09","","","",""
"","1582","TS01 - search shows the matching article","firefox","2026-09-09","passed","2026-09-09","Wikipedia","","",""
